,idCationResults,idLabInstrumentRun,RunPosition,SampleName,SampleSize,UnitsSample,Ca,UnitsResult
0,0,0,,20080124 ST1,,,49860.0,ppb
1,1,0,,20080208 ST1,,,48850.0,ppb
2,2,0,,20080307 ST1,,,30280.0,ppb
3,3,0,,20080527 ST1,,,48730.0,ppb
4,4,0,,20080721 ST1,,,45920.0,ppb
5,5,0,,20080124 ST4,,,55240.0,ppb
6,6,0,,20080527 ST4,,,60580.0,ppb
7,7,0,,20080721 ST4,,,70460.0,ppb
8,8,0,,20080208 ST4,,,77370.0,ppb
9,9,0,,20080229 ST4,,,67060.0,ppb
10,10,0,,20080307 ST4,,,81160.0,ppb
11,11,0,,20080314 ST4,,,60110.0,ppb
12,12,0,,20080229 ST1,,,42580.0,ppb
13,13,0,,20080314 ST1,,,37450.0,ppb
14,14,1,,20081021 SMP,,,70000.0,ppb
15,15,1,,20080923 ST1,,,52130.0,ppb
16,16,1,,20081021 ST1,,,56660.0,ppb
17,17,1,,20081118 ST1,,,52420.0,ppb
18,18,1,,20081216 ST1,,,46390.0,ppb
19,19,1,,20080923 ST2,,,79400.0,ppb
20,20,1,,20081021 ST2,,,72600.0,ppb
21,21,1,,20081118 ST2,,,78200.0,ppb
22,22,1,,20081216 ST2,,,76620.0,ppb
23,23,1,,20090113 ST2,,,77730.0,ppb
24,24,1,,20080923 FTM,,,76870.0,ppb
25,25,1,,20081021 FTM,,,74690.0,ppb
26,26,1,,20081118 FTM,,,71580.0,ppb
27,27,1,,20081216 FTM,,,79000.0,ppb
28,28,1,,20090113 FTM,,,70920.0,ppb
29,29,1,,20080923 TRN,,,49550.0,ppb
30,30,1,,20081021 TRN,,,53630.0,ppb
31,31,1,,20081118 TRN,,,52960.0,ppb
32,32,1,,20081216 TRN,,,49640.0,ppb
33,33,1,,20090113 TRN,,,45470.0,ppb
34,34,1,,20090113 POL,,,97500.0,ppb
35,35,1,,20080815 BHL,,,75610.0,ppb
36,36,1,,20080923 BHL,,,83940.0,ppb
37,37,1,,20081021 BHL,,,76900.0,ppb
38,38,1,,20081118 BHL,,,77480.0,ppb
39,39,1,,20081216 BHL,,,77500.0,ppb
40,40,1,,20090113 BHL,,,78670.0,ppb
41,41,1,,20080815 ST4,,,72350.0,ppb
42,42,1,,20080923 ST4,,,94540.0,ppb
43,43,1,,20081021 ST4,,,78690.0,ppb
44,44,1,,20081118 ST4,,,78600.0,ppb
45,45,1,,20081216 ST4,,,84020.0,ppb
46,46,1,,20090113 ST4,,,80270.0,ppb
47,47,1,,20080815 ST1,,,59910.0,ppb
48,48,2,,20080923 SMP,,,62910.0,ppb
49,49,2,,20081118 SMP,,,58640.0,ppb
50,50,2,,20081216 SMP,,,53900.0,ppb
51,51,2,,20090113 SMP,,,55460.0,ppb
52,52,2,,20090414 ST2,,,65640.0,ppb
53,53,2,,20090218 FTM,,,68760.0,ppb
54,54,2,,20090317 FTM,,,65390.0,ppb
55,55,2,,20090414 FTM,,,67650.0,ppb
56,56,2,,20090218 TRN,,,40470.0,ppb
57,57,2,,20090317 TRN,,,38340.0,ppb
58,58,2,,20090414 TRN,,,39060.0,ppb
59,59,2,,20090218 POL,,,92420.0,ppb
60,60,2,,20090317 POL,,,92380.0,ppb
61,61,2,,20090414 POL,,,92400.0,ppb
62,62,2,,20090218 BHL,,,73640.0,ppb
63,63,2,,20090317 BHL,,,72950.0,ppb
64,64,2,,20090414 BHL,,,81390.0,ppb
65,65,2,,20090218 ST4,,,73400.0,ppb
66,66,2,,20090317 ST4,,,71160.0,ppb
67,67,2,,20090414 ST4,,,70300.0,ppb
68,68,3,,20090513 BRO,,,75292.0,ppb
69,69,3,,20090612 BRO,,,80617.0,ppb
70,70,3,,20090513 AMD,,,64795.0,ppb
71,71,3,,20090513 FTM,,,81396.0,ppb
72,72,3,,20090612 FTM,,,81339.0,ppb
73,73,3,,20090513 TRN,,,48239.0,ppb
74,74,3,,20090612 TRN,,,53033.0,ppb
75,75,3,,20090513 POL,,,99860.0,ppb
76,76,3,,20090612 POL,,,100619.0,ppb
