,idDripCollectionBottle,SampleName,InitialMass,FinalMass,DeployTime,CollectTime,Note
0,0,20080923 BHL,102.8,,2008-09-22 12:21:00,2008-09-23 11:16:00,Overflow
1,1,20080923 FTM,101.7,556.0,2008-09-22 12:47:00,2008-09-23 11:02:00,
2,2,20080923 ST1,35.8,159.0,2008-09-22 11:42:00,2008-09-23 10:25:00,
3,3,20080923 ST2,58.1,250.0,2008-09-22 11:43:00,2008-09-23 10:27:00,
4,4,20080923 ST4,102.6,352.6,2008-09-23 10:45:00,2008-09-23 11:08:00,Estimate
5,5,20080923 SMP,102.0,120.0,2008-09-22 12:04:00,2008-09-23 10:21:00,
6,6,20080923 TRN,102.0,,2008-09-22 13:10:00,2008-09-23 11:13:00,Overflow
7,7,20081021 BHL,102.8,,2008-10-20 11:55:00,2008-10-21 11:16:00,Overflow
8,8,20081021 FTM,101.7,491.5,2008-10-20 11:38:00,2008-10-21 11:05:00,
9,9,20081021 ST1,35.8,173.3,2008-10-20 11:11:00,2008-10-21 10:38:00,
10,10,20081021 ST2,58.1,218.4,2008-10-20 11:09:00,2008-10-21 10:36:00,
11,11,20081021 ST4,102.6,,2008-10-20 10:47:00,2008-10-20 12:38:00,Estimate
12,12,20081021 SMP,102.0,119.8,2008-10-20 11:24:00,2008-10-21 10:42:00,
13,13,20081021 TRN,102.0,,2008-10-20 12:22:00,2008-10-21 11:30:00,Overflow
14,14,20081118 BHL,102.8,,2008-11-17 10:47:00,2008-11-18 10:57:00,Overflow
15,15,20081118 FTM,101.7,563.6,2008-11-17 11:09:00,2008-11-18 10:48:00,
16,16,20081118 ST1,35.8,184.8,2008-11-17 10:30:00,2008-11-18 10:34:00,
17,17,20081118 ST2,58.1,203.8,2008-11-17 10:29:00,2008-11-18 10:34:00,
18,18,20081118 ST4,102.6,,2008-11-17 10:37:00,2008-11-18 10:29:00,Overflow
19,19,20081118 SMP,102.0,113.1,2008-11-17 10:26:00,2008-11-18 10:30:00,
20,20,20081118 TRN,102.0,,2008-11-17 10:57:00,2008-11-18 11:09:00,Overflow
21,21,20081216 BHL,102.8,,2008-12-15 11:28:00,2008-12-16 10:54:00,Overflow
22,22,20081216 FTM,101.7,296.8,2008-12-15 11:52:00,2008-12-16 10:22:00,
23,23,20081216 ST1,35.8,153.6,2008-12-15 11:09:00,2008-12-16 10:30:00,
24,24,20081216 ST2,58.1,191.0,2008-12-15 11:09:00,2008-12-16 10:30:00,
25,25,20081216 ST4,102.6,,2008-12-15 11:21:00,2008-12-16 11:40:00,Fell Over
26,26,20081216 TRN,102.0,,2008-12-15 11:39:00,2008-12-16 11:04:00,Overflow
27,27,20090113 BHL,102.8,,2009-01-12 12:00:00,2009-01-13 10:57:00,Overflow
28,28,20090113 FTM,101.7,462.1,2009-01-12 13:12:00,2009-01-13 11:20:00,
29,29,20090113 ST1,35.8,70.9,2009-01-12 11:39:00,2009-01-13 10:51:00,
30,30,20090113 ST2,58.1,176.1,2009-01-12 11:37:00,2009-01-13 10:32:00,
31,31,20090113 ST4,102.6,187.6,2009-01-13 10:22:00,2009-01-13 11:22:00,Fell over
32,32,20090113 SMP,102.0,112.8,2009-01-12 11:32:00,2009-01-13 10:35:00,
33,33,20090113 TRN,102.0,,2009-01-12 12:19:00,2009-01-13 11:14:00,Overflow
34,34,20090218 BHL,102.8,,2009-02-17 12:31:00,2009-02-18 10:46:00,Overflow
35,35,20090218 FTM,101.7,407.6,2009-02-17 13:19:00,2009-02-18 10:42:00,
36,36,20090218 ST1,35.8,72.0,2009-02-17 11:45:00,2009-02-18 10:11:00,
37,37,20090218 ST2,58.1,168.0,2009-02-17 11:45:00,2009-02-18 10:12:00,
38,38,20090218 ST4,102.6,571.6,2009-02-17 12:26:00,2009-02-18 10:10:00,
39,39,20090218 SMP,102.0,112.6,2009-02-17 12:09:00,2009-02-18 10:16:00,
40,40,20090218 TRN,102.0,,2009-02-17 13:08:00,2009-02-18 10:57:00,Overflow
41,41,20090317 BHL,102.8,,2009-03-16 11:34:00,2009-03-17 11:25:00,Overflow
42,42,20090317 FTM,101.7,371.1,2009-03-16 12:05:00,2009-03-17 11:26:00,
43,43,20090317 ST1,35.8,,2009-03-16 11:09:00,2009-03-17 12:45:00,Fell Over
44,44,20090317 ST2,58.1,167.2,2009-03-16 11:09:00,2009-03-17 11:02:00,
45,45,20090317 ST4,102.6,563.0,2009-03-16 11:26:00,2009-03-17 11:04:00,
46,46,20090317 SMP,102.0,114.1,2009-03-16 11:15:00,2009-03-17 11:11:00,
47,47,20090317 TRN,102.0,,2009-03-16 11:53:00,2009-03-17 11:34:00,Overflow
48,48,20090414 BHL,102.8,,2009-04-13 12:01:00,2009-04-14 11:08:00,Overflow
49,49,20090414 FTM,101.7,339.4,2009-04-13 12:23:00,2009-04-14 11:30:00,
50,50,20090414 ST1,35.8,103.2,2009-04-13 11:27:00,2009-04-14 10:44:00,
