,idDripPerMinute,idFieldTrip,SiteName,TimeCollected,Count,TimeInterval
0,1,9,Trinity,2008-09-22 00:00:00,66.0,90
1,2,9,Trinity,2008-09-23 00:00:00,75.0,90
2,3,10,Trinity,2008-10-20 00:00:00,74.0,90
3,4,10,Trinity,2008-10-21 00:00:00,71.0,90
4,5,11,Trinity,2008-11-17 00:00:00,69.0,90
5,6,11,Trinity,2008-11-18 00:00:00,69.0,90
6,7,12,Trinity,2008-12-15 00:00:00,62.0,90
7,8,12,Trinity,2008-12-16 00:00:00,59.0,90
8,9,13,Trinity,2009-01-12 00:00:00,153.0,90
9,10,13,Trinity,2009-01-13 00:00:00,150.0,90
10,11,14,Trinity,2009-02-17 00:00:00,127.0,90
11,12,14,Trinity,2009-02-18 00:00:00,120.0,90
12,13,16,Trinity,2009-03-16 00:00:00,108.0,90
13,14,16,Trinity,2009-03-17 00:00:00,112.0,90
14,15,17,Trinity,2009-04-13 00:00:00,99.0,90
15,16,17,Trinity,2009-04-14 00:00:00,100.0,90
16,17,19,Trinity,2009-05-12 00:00:00,96.0,90
17,18,19,Trinity,2009-05-13 00:00:00,102.0,90
18,19,20,Trinity,2009-06-11 00:00:00,88.0,90
19,20,22,Trinity,2009-07-14 00:00:00,80.0,90
20,21,22,Trinity,2009-07-15 00:00:00,77.0,90
21,22,23,Trinity,2009-08-21 00:00:00,69.0,90
22,23,23,Trinity,2009-08-22 00:00:00,64.0,90
23,24,25,Trinity,2009-09-21 00:00:00,139.0,90
24,25,25,Trinity,2009-09-22 00:00:00,135.0,90
25,26,26,Trinity,2009-10-19 00:00:00,230.0,90
26,27,26,Trinity,2009-10-21 00:00:00,237.0,90
27,28,28,Trinity,2009-11-23 00:00:00,221.0,90
28,29,28,Trinity,2009-11-24 00:00:00,228.0,90
29,30,29,Trinity,2009-12-21 00:00:00,172.0,90
30,31,29,Trinity,2009-12-22 00:00:00,173.0,90
31,32,30,Trinity,2010-01-25 00:00:00,164.0,90
32,33,30,Trinity,2010-01-26 00:00:00,164.0,90
33,34,31,Trinity,2010-03-01 00:00:00,150.0,90
34,35,31,Trinity,2010-03-02 00:00:00,153.0,90
35,36,33,Trinity,2010-04-05 00:00:00,142.0,90
36,37,34,Trinity,2010-05-03 00:00:00,139.0,90
37,38,34,Trinity,2010-05-04 00:00:00,142.0,90
38,39,35,Trinity,2010-06-07 00:00:00,121.0,90
39,40,35,Trinity,2010-06-08 00:00:00,120.0,90
40,41,36,Trinity,2010-07-12 00:00:00,102.0,90
41,42,36,Trinity,2010-07-13 00:00:00,105.0,90
42,43,38,Trinity,2010-08-16 00:00:00,101.0,90
43,44,38,Trinity,2010-08-17 00:00:00,100.0,90
44,45,39,Trinity,2010-09-27 00:00:00,87.0,90
45,46,39,Trinity,2010-09-28 00:00:00,80.0,90
46,47,41,Trinity,2010-10-25 00:00:00,75.0,90
47,48,41,Trinity,2010-10-26 00:00:00,70.0,90
48,49,42,Trinity,2010-11-22 00:00:00,65.0,90
49,50,42,Trinity,2010-11-23 00:00:00,63.0,90
50,51,44,Trinity,2010-12-20 00:00:00,66.0,90
51,52,44,Trinity,2010-12-21 00:00:00,68.0,90
52,53,45,Trinity,2011-01-24 00:00:00,66.0,90
53,54,45,Trinity,2011-01-25 00:00:00,69.0,90
54,55,46,Trinity,2011-02-21 00:00:00,69.0,90
55,56,46,Trinity,2011-02-22 00:00:00,72.0,90
56,57,47,Trinity,2011-03-28 00:00:00,69.0,90
57,58,47,Trinity,2011-03-29 00:00:00,71.0,90
58,59,49,Trinity,2011-04-25 00:00:00,72.0,90
59,60,49,Trinity,2011-04-26 00:00:00,75.0,90
60,61,52,Trinity,2011-05-23 00:00:00,81.0,90
61,62,52,Trinity,2011-05-24 00:00:00,84.0,90
62,63,53,Trinity,2011-06-20 00:00:00,87.0,90
63,64,53,Trinity,2011-06-21 00:00:00,84.0,90
64,65,54,Trinity,2011-07-18 00:00:00,85.0,90
65,66,54,Trinity,2011-07-19 00:00:00,84.0,90
66,67,56,Trinity,2011-08-29 00:00:00,69.0,90
67,68,56,Trinity,2011-08-30 00:00:00,74.0,90
68,69,57,Trinity,2011-09-26 00:00:00,315.0,90
69,70,57,Trinity,2011-09-27 00:00:00,216.0,90
70,71,59,Trinity,2011-10-24 00:00:00,231.5,90
71,72,59,Trinity,2011-10-25 00:00:00,226.5,90
72,73,60,Trinity,2011-11-21 00:00:00,260.0,90
73,74,60,Trinity,2011-11-22 00:00:00,261.0,90
