,idFieldTrip,Location,BeginFieldTrip,EndFieldTrip,Note
0,0,Jinapsan Cave,2008-01-16 00:00:00,2008-01-17 00:00:00,
1,1,Jinapsan Cave,2008-01-23 00:00:00,2008-01-24 00:00:00,
2,2,Jinapsan Cave,2008-02-07 00:00:00,2008-02-08 00:00:00,
3,3,Jinapsan Cave,2008-02-28 00:00:00,2008-02-29 00:00:00,
4,4,Jinapsan Cave,2008-03-06 00:00:00,2008-03-07 00:00:00,
5,5,Jinapsan Cave,2008-03-13 00:00:00,2008-03-14 00:00:00,
6,6,Jinapsan Cave,2008-05-26 00:00:00,2008-05-27 00:00:00,
7,7,Jinapsan Cave,2008-07-20 00:00:00,2008-07-21 00:00:00,
8,8,Jinapsan Cave,2008-08-14 00:00:00,2008-08-15 00:00:00,
9,9,Jinapsan Cave,2008-09-22 00:00:00,2008-09-23 00:00:00,
10,10,Jinapsan Cave,2008-10-20 00:00:00,2008-10-21 00:00:00,
11,11,Jinapsan Cave,2008-11-17 00:00:00,2008-11-18 00:00:00,
12,12,Jinapsan Cave,2008-12-15 00:00:00,2008-12-16 00:00:00,
13,13,Jinapsan Cave,2009-01-12 00:00:00,2009-01-13 00:00:00,
14,14,Jinapsan Cave,2009-02-17 00:00:00,2009-02-18 00:00:00,
15,15,Ritidian Cave,2009-03-10 00:00:00,2009-03-10 00:00:00,
16,16,Jinapsan Cave,2009-03-16 00:00:00,2009-03-17 00:00:00,
17,17,Jinapsan Cave,2009-04-13 00:00:00,2009-04-14 00:00:00,
18,18,Ritidian Cave,2009-04-21 00:00:00,2009-04-21 00:00:00,
19,19,Jinapsan Cave,2009-05-12 00:00:00,2009-05-13 00:00:00,
20,20,Jinapsan Cave,2009-06-11 00:00:00,2009-06-12 00:00:00,
21,21,Ritidian Cave,2009-07-06 00:00:00,2009-07-06 00:00:00,
22,22,Jinapsan Cave,2009-07-14 00:00:00,2009-07-15 00:00:00,
23,23,Jinapsan Cave,2009-08-21 00:00:00,2009-08-22 00:00:00,
