,idGroundwaterSampleDetails,SampleName,SiteName,idFieldTrip,Note
0,0,20080117 ST1,Station 1,0,
1,1,20080124 ST1,Station 1,1,
2,2,20080208 ST1,Station 1,2,
3,3,20080208 ST4,Station 4,2,
4,4,20080229 ST1,Station 1,3,
5,5,20080307 ST1,Station 1,4,
6,6,20080307 ST4,Station 4,4,
7,7,20080314 ST1,Station 1,5,
8,8,20080314 ST4,Station 4,5,
9,9,20080527 ST1,Station 1,6,
10,10,20080527 ST4,Station 4,6,
11,11,20080721 ST1,Station 1,7,
12,12,20080721 ST4,Station 4,7,
13,13,20080815 BHL,Borehole,8,
14,14,20080815 ST4,Station 4,8,
15,15,20080815 ST1,Station 1,8,
16,16,20080923 BHL,Borehole,9,
17,17,20080923 FTM,Flatman,9,
18,18,20080923 BHL,Borehole,9,
19,19,20080923 ST1,Station 1,9,
20,20,20080923 ST2,Station 2,9,
21,21,20080923 ST4,Station 4,9,
22,22,20080923 SMP,Stumpy,9,
23,23,20080923 TRN,Trinity,9,
24,24,20081021 BHL,Borehole,10,
25,25,20081021 FTM,Flatman,10,
26,26,20081021 ST1,Station 1,10,
27,27,20081021 ST2,Station 2,10,
28,28,20081021 ST4,Station 4,10,
29,29,20081021 SMP,Stumpy,10,
30,30,20081021 TRN,Trinity,10,
31,31,20081118 BHL,Borehole,11,
32,32,20081118 FTM,Flatman,11,
33,33,20081118 ST1,Station 1,11,
34,34,20081118 ST2,Station 2,11,
35,35,20081118 ST4,Station 4,11,
36,36,20081118 SMP,Stumpy,11,
37,37,20081118 TRN,Trinity,11,
38,38,20081216 BHL,Borehole,12,
39,39,20081216 FTM,Flatman,12,
40,40,20081216 ST1,Station 1,12,
41,41,20081216 ST2,Station 2,12,
42,42,20081216 ST4,Station 4,12,
43,43,20081216 SMP,Stumpy,12,
44,44,20081216 TRN,Trinity,12,
45,45,20090113 BHL,Borehole,13,
46,46,20090113 FTM,Flatman,13,
47,47,20090113 POL,Pool,13,
48,48,20090113 ST1,Station 1,13,
49,49,20090113 ST2,Station 2,13,
50,50,20090113 ST4,Station 4,13,
51,51,20090113 SMP,Stumpy,13,
52,52,20090113 TRN,Trinity,13,
53,53,20090218 BHL,Borehole,14,
54,54,20090218 FTM,Flatman,14,
55,55,20090218 POL,Pool,14,
56,56,20090218 ST1,Station 1,14,
57,57,20090218 ST2,Station 2,14,
58,58,20090218 ST4,Station 4,14,
59,59,20090218 SMP,Stumpy,14,
60,60,20090218 TRN,Trinity,14,
61,61,20090317 BHL,Borehole,16,
