,idPlateFieldData,SampleName,SiteName,DeployFieldTrip,DateDeploy,DateRemove,DateReplace,DateCollect,CollectFieldTrip,Note
0,0,G38,Chrome Dome,,,,,2009-03-10 10:16:00,15.0,
1,1,G331,Chrome Dome,,,,,2014-07-28 10:53:00,107.0,
2,2,G1,Borehole,8.0,2008-08-15 12:00:00,,,2008-09-22 12:20:00,9.0,
3,3,G2,Station 3,8.0,2008-08-15 12:00:00,,,2008-09-22 11:23:00,9.0,
4,4,G3,Station 2,8.0,2008-08-15 12:00:00,,,2008-09-22 11:29:00,9.0,
5,5,G4,Trinity,8.0,2008-08-15 12:00:00,,,2008-09-22 13:07:00,9.0,
6,6,G5,Station 4,8.0,2008-08-15 12:00:00,,,2008-09-22 11:14:00,9.0,
7,7,G7,Station 2,9.0,2008-09-23 10:54:00,,,2008-10-20 10:53:00,10.0,
8,8,G8,Borehole,9.0,2008-09-23 12:00:00,,,2008-10-20 11:52:00,10.0,
9,9,G9,Trinity,9.0,2008-09-23 12:00:00,,,2008-10-20 12:19:00,10.0,
10,10,G10,Flatman,9.0,2008-09-23 12:05:00,,,2008-10-20 11:33:00,10.0,
11,11,G11,Station 4,9.0,2008-09-23 12:08:00,,,2008-10-20 10:41:00,10.0,
12,12,G12,Station 3,9.0,2008-09-23 12:11:00,,,2008-10-20 10:46:00,10.0,
13,13,G13,Borehole,10.0,2008-10-28 10:32:00,,,2008-11-17 10:44:00,11.0,
14,14,G14,Station 4,10.0,2008-10-28 10:27:00,,,2008-11-17 10:12:00,11.0,
15,15,G15,Station 3,10.0,2008-10-28 10:23:00,,,2008-11-17 10:24:00,11.0,
16,16,G16,Flatman,10.0,2008-10-28 11:03:00,,,2008-11-17 11:07:00,11.0,
17,17,G17,Trinity,10.0,2008-10-28 10:41:00,,,2008-11-17 10:56:00,11.0,
18,18,G18,Station 2,10.0,2008-10-28 10:21:00,,,2008-11-17 10:28:00,11.0,
19,19,G19,Station 2,11.0,2008-11-18 10:57:00,,,2008-12-15 11:03:00,12.0,
20,20,G20,Station 3,11.0,2008-11-18 11:00:00,,,2008-12-15 10:54:00,12.0,
21,21,G21,Station 4,11.0,2008-11-18 11:01:00,,,2008-12-15 10:48:00,12.0,
22,22,G22,Borehole,11.0,2008-11-18 11:07:00,,,2008-12-15 11:25:00,12.0,
23,23,G23,Trinity,11.0,2008-11-18 11:10:00,,,2008-12-15 11:35:00,12.0,
24,24,G24,Flatman,11.0,2008-11-18 12:10:00,,,2008-12-15 11:50:00,12.0,
25,25,G30,Station 2,12.0,2008-12-16 10:30:00,,,2009-01-12 11:26:00,13.0,
26,26,G31,Station 3,12.0,2008-12-16 10:26:00,,,2009-01-12 11:21:00,13.0,
27,27,G32,Flatman,12.0,2008-12-16 10:20:00,,,2009-01-12 13:03:00,13.0,
28,28,G33,Station 4,12.0,2008-12-16 11:40:00,,,2009-01-12 11:11:00,13.0,
29,29,G34,Trinity,12.0,2008-12-16 11:04:00,,,2009-01-12 12:17:00,13.0,
30,30,G35,Borehole,12.0,2008-12-16 10:55:00,,,2009-01-12 11:56:00,13.0,
31,31,G39,Borehole,13.0,2009-01-13 10:57:00,,,2009-02-17 12:31:00,14.0,
32,32,G40,Station 2,13.0,2009-01-13 10:34:00,,,2009-02-17 11:34:00,14.0,
33,33,G41,Station 3,13.0,2009-01-13 10:29:00,,,2009-02-17 11:55:00,14.0,
34,34,G42,Station 4,13.0,2009-01-13 11:22:00,,,2009-02-17 11:28:00,14.0,
35,35,G43,Flatman,13.0,2009-01-13 11:20:00,,,2009-02-17 13:19:00,14.0,
36,36,G44,Trinity,13.0,2009-01-13 11:17:00,,,2009-02-17 13:08:00,14.0,
37,37,G46,Flatman,14.0,2009-02-17 12:16:00,,,2009-03-16 12:02:00,16.0,
38,38,G47,Trinity,14.0,2009-02-18 10:58:00,,,2009-03-17 11:43:00,16.0,
39,39,G48,Borehole,14.0,2009-02-18 10:47:00,,,2009-03-16 11:32:00,16.0,
40,40,G49,Station 4,14.0,2009-02-18 10:25:00,,,2009-03-16 10:42:00,16.0,
41,41,G50,Station 3,14.0,2009-02-18 10:24:00,,,2009-03-16 10:52:00,16.0,
42,42,G51,Station 2,14.0,2009-02-18 10:18:00,,,2009-03-16 10:54:00,16.0,
43,43,G52,Snowman,15.0,2009-03-10 10:51:00,,,2009-04-21 12:36:00,18.0,
44,44,G55,Chrome Dome,15.0,2009-03-10 10:21:00,,,2009-04-21 12:30:00,18.0,
45,45,G58,Flatman,16.0,2009-03-17 12:45:00,,,2009-04-13 12:22:00,17.0,
46,46,G59,Trinity,16.0,2009-03-17 11:35:00,,,2009-04-13 12:00:00,17.0,
47,47,G61,Borehole,16.0,2009-03-17 11:29:00,,,2009-04-13 11:28:00,17.0,
48,48,G62,Station 4,16.0,2009-03-17 11:20:00,,,2009-04-13 10:51:00,17.0,
49,49,G63,Station 2,16.0,2009-03-17 11:03:00,,,2009-04-13 11:05:00,17.0,
50,50,G64,Station 3,16.0,2009-03-17 11:11:00,,,2009-04-13 11:01:00,17.0,
51,51,G6,Stumpy,17.0,2009-04-14 10:55:00,2009-05-12 11:35:00,2009-05-13 13:18:00,2009-06-11 12:08:00,20.0,
52,52,G54,Flatman,17.0,2009-04-14 12:39:00,2009-05-12 10:42:00,2009-05-13 14:05:00,2009-06-11 12:30:00,20.0,
53,53,G56,Station 4,17.0,2009-04-14 12:30:00,,,2009-06-11 11:14:00,20.0,
54,54,G57,Station 3,17.0,2009-04-14 12:28:00,,,2009-06-11 11:21:00,20.0,
55,55,G60,Station 2,17.0,2009-04-14 12:26:00,2009-05-12 11:18:00,2009-05-13 13:37:00,2009-06-11 11:03:00,20.0,
56,56,G65,Trinity,17.0,2009-04-14 11:25:00,2009-05-12 12:22:00,2009-05-13 14:25:00,2009-06-11 12:46:00,20.0,
57,57,G66,Borehole,17.0,2009-04-14 11:08:00,,,2009-06-11 12:57:00,20.0,
58,58,G68,Robin,18.0,2009-04-21 12:54:00,,,2009-07-06 10:00:00,21.0,
59,59,G69,Snowman,18.0,2009-04-21 12:38:00,,,2009-07-06 10:00:00,21.0,
60,60,G70,Chrome Dome,18.0,2009-04-21 12:31:00,,,2009-07-06 10:00:00,21.0,
61,61,G77,Stumpys Brother,19.0,2009-05-13 13:20:00,,,2009-06-11 12:09:00,20.0,
62,62,G78,Amidala,19.0,2009-05-13 13:22:00,,,2009-06-11 12:10:00,20.0,
63,63,G71,Amidala,20.0,2009-06-12 10:34:00,,,2009-08-21 12:00:00,23.0,
64,64,G72,Stumpys Brother,20.0,2009-06-12 10:35:00,2009-07-14 11:27:00,2009-07-15 13:32:00,2009-08-21 12:00:00,23.0,
