,idPlateInitialWeight,SampleName,idPlateStandardWeight,WorkerName,InitialWeight
0,0,857,26,,52.40919
1,1,858,26,,53.04368
2,2,859,26,,53.01559
3,3,G1,0,,55.6782
4,4,G2,0,,55.37928
5,5,G3,0,,54.11182
6,6,G4,0,,53.55459
7,7,G5,0,,53.42039
8,8,G6,0,,56.4726
9,9,G7,1,,54.52927
10,10,G8,1,,55.5954
11,11,G9,1,,53.90275
12,12,G10,1,,53.29361
13,13,G100,22,,57.83531
14,14,G101,22,,55.57402
15,15,G102,21,,54.88188
16,16,G11,1,,54.92119
17,17,G12,1,,55.06956
18,18,G120,24,,57.3447
19,19,G121,24,,56.12501
20,20,G122,24,,54.49821
21,21,G123,24,,57.23708
22,22,G124,24,,55.53762
23,23,G125,25,,55.15165
24,24,G126,25,,54.33192
25,25,G127,25,,54.90437
26,26,G128,25,,54.52941
27,27,G129,25,,54.43398
28,28,G13,2,,57.06921
29,29,G130,27,,53.40327
30,30,G131,27,,53.06157
31,31,G132,27,,54.43137
32,32,G133,27,,53.91745
33,33,G134,27,,54.80219
34,34,G135,27,,53.99644
35,35,G136,28,,53.21875
36,36,G137,28,,54.30809
37,37,G138,27,,54.54301
38,38,G139,28,,55.48648
39,39,G14,3,,58.26399
40,40,G140,28,,54.07157
41,41,G141,28,,54.26322
42,42,G142,29,,54.29521
43,43,G143,29,,53.53166
44,44,G144,29,,57.82895
45,45,G145,29,,53.95645
46,46,G146,29,,53.61388
47,47,G147,29,,58.41621
48,48,G148,30,,58.19679
49,49,G149,30,,58.58176
50,50,G15,3,,57.65143
51,51,G150,30,,54.15251
52,52,G151,30,,54.61272
53,53,G152,30,,54.29407
54,54,G153,30,,55.41016
55,55,G154,30,,54.40723
56,56,G155,32,,51.82568
57,57,G156,31,,52.37115
58,58,G157,31,,51.85845
59,59,G158,32,,51.39094
60,60,G159,32,,51.44529
61,61,G16,3,,54.68958
62,62,G160,32,,52.14179
63,63,G161,31,,52.14199
64,64,G162,32,,52.06927
65,65,G163,32,,52.16909
66,66,G164,31,,52.11429
67,67,G165,31,,52.85285
68,68,G166,31,,52.84998
69,69,G17,3,,56.51545
70,70,G18,3,,53.8356
71,71,G19,2,,56.7875
72,72,G20,2,,55.63066
73,73,G21,2,,54.55556
74,74,G22,2,,55.92892
75,75,G23,2,,55.16227
76,76,G24,3,,56.48718
77,77,G25,3,,55.45625
78,78,G30,4,,51.58672
