,idPlateStandardWeight,Date,Batch,StandardWeight
0,0,2008-07-30 00:00:00,1,55.3889
1,1,2008-07-30 00:00:00,2,55.3889
2,2,2008-10-08 00:00:00,1,55.38877
3,3,2008-10-09 00:00:00,1,55.38904
4,4,2008-12-09 00:00:00,1,55.38912
5,5,2008-12-09 00:00:00,2,55.38901
6,6,2008-12-09 00:00:00,3,55.38898
7,7,2009-02-02 00:00:00,1,55.38854
8,8,2009-02-02 00:00:00,2,55.38842
9,9,2009-02-02 00:00:00,3,55.3884
10,10,2009-02-02 00:00:00,4,55.38844
11,11,2009-03-29 00:00:00,1,55.38877
12,12,2009-04-20 00:00:00,1,55.3884
13,13,2009-04-20 00:00:00,2,55.38842
14,14,2009-04-20 00:00:00,3,55.3884
15,15,2009-04-20 00:00:00,4,55.3884
16,16,2009-04-20 00:00:00,5,55.38843
17,17,2009-04-20 00:00:00,6,55.38844
18,18,2009-04-21 00:00:00,1,55.38861
19,19,2009-05-17 00:00:00,1,55.38822
20,20,2009-05-21 00:00:00,1,55.38838
21,21,2009-05-21 00:00:00,2,55.38842
22,22,2009-05-21 00:00:00,3,55.38848
23,23,2009-10-14 00:00:00,1,55.38865
24,24,2010-02-11 00:00:00,1,55.38803
25,25,2010-02-11 00:00:00,2,55.38806
26,26,2010-04-09 00:00:00,1,55.38749
27,27,2010-05-24 00:00:00,1,55.38862
28,28,2010-05-24 00:00:00,2,55.38877
29,29,2010-05-24 00:00:00,3,55.38879
30,30,2010-05-24 00:00:00,4,55.38882
31,31,2010-09-02 00:00:00,1,55.38906
32,32,2010-09-02 00:00:00,2,55.38907
33,33,2010-11-04 00:00:00,1,55.38843
34,34,2010-11-05 00:00:00,1,55.38804
35,35,2010-11-05 00:00:00,2,55.38802
36,36,2010-11-05 00:00:00,3,55.38806
37,37,2010-11-08 00:00:00,1,55.38844
38,38,2010-11-08 00:00:00,2,55.38845
39,39,2011-02-09 00:00:00,1,55.3868
40,40,2011-02-09 00:00:00,2,55.38676
41,41,2011-02-15 00:00:00,1,55.38724
42,42,2011-02-17 00:00:00,1,55.38658
43,43,2011-02-17 00:00:00,2,55.38651
44,44,2010-12-13 00:00:00,1,55.38808
45,45,2010-12-13 00:00:00,2,55.38811
46,46,2010-12-13 00:00:00,3,55.38817
47,47,2010-12-13 00:00:00,4,55.3882
48,48,2010-12-13 00:00:00,5,55.38824
49,49,2011-04-21 00:00:00,1,55.38745
50,50,2011-04-21 00:00:00,2,55.38766
51,51,2011-04-21 00:00:00,3,55.38762
52,52,2011-04-22 00:00:00,1,55.3874
53,53,2011-04-25 00:00:00,1,55.38741
54,54,2011-04-25 00:00:00,2,55.38741
55,55,2011-04-25 00:00:00,3,55.38746
56,56,2011-06-13 00:00:00,1,55.38703
57,57,2011-06-13 00:00:00,2,55.38711
58,58,2011-06-13 00:00:00,3,55.38711
59,59,2011-06-13 00:00:00,4,55.38708
60,60,2011-06-24 00:00:00,1,55.38722
61,61,2011-06-27 00:00:00,1,55.38662
62,62,2011-06-27 00:00:00,2,55.38669
63,63,2011-06-30 00:00:00,1,55.38704
64,64,2011-06-30 00:00:00,2,55.38713
65,65,2011-07-06 00:00:00,1,55.38728
66,66,2011-08-25 00:00:00,1,55.38699
67,67,2011-10-19 00:00:00,1,55.38628
68,68,2011-10-19 00:00:00,2,55.38631
69,69,2011-11-04 00:00:00,1,55.38647
70,70,2011-11-04 00:00:00,2,55.38651
71,71,2011-11-10 00:00:00,1,55.38606
72,72,2011-11-10 00:00:00,2,55.3861
73,73,2012-02-22 00:00:00,1,55.38719
74,74,2012-02-22 00:00:00,2,55.3871
75,75,2012-03-06 00:00:00,1,55.38653
76,76,2012-05-05 00:00:00,1,55.38701
77,77,2012-05-05 00:00:00,2,55.38703
78,78,2012-05-13 00:00:00,1,55.38658
79,79,2012-05-13 00:00:00,2,55.38659
80,80,2012-03-29 00:00:00,1,55.38672
81,81,2012-03-30 00:00:00,1,55.38675
82,82,2012-06-08 00:00:00,1,55.387008
83,83,2012-06-10 00:00:00,1,55.387125
84,84,2012-06-10 00:00:00,2,55.387073
85,85,2012-06-10 00:00:00,3,55.386925
86,86,2012-09-20 00:00:00,1,55.38668
87,87,2012-09-20 00:00:00,2,55.38675
88,88,2012-09-20 00:00:00,3,55.38683
89,89,2012-09-20 00:00:00,4,55.38683
90,90,2012-04-08 00:00:00,1,55.38676
91,91,2012-04-11 00:00:00,1,55.3868
92,92,2012-12-18 00:00:00,1,55.38697
93,93,2012-12-18 00:00:00,2,55.38705
94,94,2012-12-18 00:00:00,3,55.38715
95,95,2013-04-11 00:00:00,1,55.387
96,96,2013-05-02 00:00:00,1,55.3869
97,97,2013-06-12 00:00:00,1,55.38685
98,98,2013-06-12 00:00:00,2,55.38672
99,99,2013-08-21 00:00:00,1,55.38724
100,100,2013-08-21 00:00:00,2,55.38729
101,101,2013-08-21 00:00:00,3,55.38736
102,102,2013-08-21 00:00:00,4,55.38741
103,103,2013-12-02 00:00:00,1,55.3868
104,104,2013-12-02 00:00:00,2,55.38688
105,105,2013-12-02 00:00:00,3,55.38695
106,106,2014-02-25 00:00:00,1,55.38535
107,107,2014-04-09 00:00:00,1,55.38651
108,108,2014-04-09 00:00:00,2,55.38654
109,109,2014-05-23 00:00:00,1,55.38696
110,110,2014-05-23 00:00:00,2,55.38723
111,111,2014-05-23 00:00:00,3,55.38732
112,112,2013-03-20 00:00:00,1,55.38745
113,113,2013-03-20 00:00:00,2,55.38749
114,114,2013-10-20 00:00:00,1,55.38661
115,115,2014-09-01 00:00:00,1,55.38695
116,116,2014-09-01 00:00:00,2,55.38695
117,117,2014-09-01 00:00:00,3,55.387
118,118,2014-09-01 00:00:00,4,55.38702
119,119,2014-09-01 00:00:00,5,55.38699
120,120,2014-09-01 00:00:00,6,55.38704
121,121,2014-10-08 00:00:00,1,55.38623
122,122,2014-10-09 00:00:00,1,55.38689
123,123,2014-10-09 00:00:00,2,55.38716
124,124,2014-10-09 00:00:00,3,55.38726
125,125,2014-10-09 00:00:00,4,55.3873
126,126,2014-10-09 00:00:00,5,55.38727
127,127,2014-10-09 00:00:00,6,55.38724
128,128,2014-10-10 00:00:00,1,55.38768
129,129,2014-10-10 00:00:00,2,55.38772
130,130,2014-10-10 00:00:00,3,55.38773
131,131,2014-10-10 00:00:00,4,55.38775
132,132,2014-10-10 00:00:00,5,55.38779
133,133,2014-10-14 00:00:00,1,55.38631
134,134,2014-10-14 00:00:00,2,55.38636
135,135,2014-10-14 00:00:00,3,55.38636
136,136,2014-10-14 00:00:00,4,55.38635
137,137,2014-10-14 00:00:00,5,55.3864
138,138,2014-12-19 00:00:00,1,55.38705
139,139,2014-12-19 00:00:00,2,55.38809
140,140,2014-12-30 00:00:00,1,55.41097
141,141,2014-12-30 00:00:00,2,55.40255
142,142,2014-12-30 00:00:00,3,55.39808
143,143,2015-01-22 00:00:00,1,55.38701
144,144,2015-01-22 00:00:00,2,55.38697
145,145,2015-01-22 00:00:00,3,55.38697
146,146,2015-01-22 00:00:00,4,55.38695
147,147,2015-01-22 00:00:00,5,55.38697
148,148,2015-01-22 00:00:00,6,55.38699
149,149,2015-01-22 00:00:00,7,55.38701
150,150,2015-01-22 00:00:00,8,55.38699
151,151,2015-01-22 00:00:00,9,55.38694
152,152,2015-01-22 00:00:00,10,55.38696
153,153,2015-03-02 00:00:00,1,55.38792
154,154,2015-03-02 00:00:00,2,55.388
155,155,2015-03-06 00:00:00,1,55.3865
156,156,2015-03-06 00:00:00,2,55.38653
157,157,2015-03-13 00:00:00,1,55.38702
158,158,2015-03-13 00:00:00,2,55.38674
159,159,2015-03-16 00:00:00,1,55.38616
160,160,2015-03-16 00:00:00,2,55.38675
161,161,2015-11-06 00:00:00,1,55.38747
162,162,2015-11-06 00:00:00,2,55.38799
163,163,2015-11-11 00:00:00,1,55.3865
164,164,2015-12-08 00:00:00,1,55.38725
165,165,2015-12-08 00:00:00,2,55.38725
166,166,2015-12-08 00:00:00,3,55.38745
167,167,2015-12-08 00:00:00,4,55.38748
168,168,2015-12-10 00:00:00,1,55.38716
169,169,2016-01-29 00:00:00,1,55.38693
170,170,2016-03-10 00:00:00,1,55.38947
