,idSampleNameMasterList,SampleName,SampleType,ISGN
0,0,20080117 ST1,groundwater,
1,1,20080124 ST1,groundwater,
2,2,20080124 ST4,groundwater,
3,3,20080208 ST1,groundwater,
4,4,20080208 ST4,groundwater,
5,5,20080229 ST1,groundwater,
6,6,20080229 ST4,groundwater,
7,7,20080307 ST1,groundwater,
8,8,20080307 ST4,groundwater,
9,9,20080314 ST1,groundwater,
10,10,20080314 ST4,groundwater,
11,11,20080527 ST1,groundwater,
12,12,20080527 ST4,groundwater,
13,13,20080721 ST1,groundwater,
14,14,20080721 ST4,groundwater,
15,15,20080815 BHL,groundwater,
16,16,20080815 ST4,groundwater,
17,17,20080815 ST1,groundwater,
18,18,20080923 BHL,groundwater,
19,19,20080923 FTM,groundwater,
20,20,20080923 ST1,groundwater,
21,21,20080923 ST2,groundwater,
22,22,20080923 ST4,groundwater,
23,23,20080923 SMP,groundwater,
24,24,20080923 TRN,groundwater,
25,25,20081021 BHL,groundwater,
26,26,20081021 FTM,groundwater,
27,27,20081021 ST1,groundwater,
28,28,20081021 ST2,groundwater,
29,29,20081021 ST4,groundwater,
30,30,20081021 SMP,groundwater,
31,31,20081021 TRN,groundwater,
32,32,20081118 BHL,groundwater,
33,33,20081118 FTM,groundwater,
34,34,20081118 ST1,groundwater,
35,35,20081118 ST2,groundwater,
36,36,20081118 ST4,groundwater,
37,37,20081118 SMP,groundwater,
38,38,20081118 TRN,groundwater,
39,39,20081216 BHL,groundwater,
40,40,20081216 FTM,groundwater,
41,41,20081216 ST1,groundwater,
42,42,20081216 ST2,groundwater,
43,43,20081216 ST4,groundwater,
44,44,20081216 SMP,groundwater,
45,45,20081216 TRN,groundwater,
46,46,20090113 BHL,groundwater,
47,47,20090113 FTM,groundwater,
48,48,20090113 POL,groundwater,
49,49,20090113 ST1,groundwater,
50,50,20090113 ST2,groundwater,
51,51,20090113 ST4,groundwater,
52,52,20090113 SMP,groundwater,
53,53,20090113 TRN,groundwater,
54,54,20090218 BHL,groundwater,
55,55,20090218 FTM,groundwater,
56,56,20090218 POL,groundwater,
57,57,20090218 ST1,groundwater,
58,58,20090218 ST2,groundwater,
59,59,20090218 ST4,groundwater,
60,60,20090218 SMP,groundwater,
61,61,20090218 TRN,groundwater,
62,62,20090317 BHL,groundwater,
63,63,20090317 FTM,groundwater,
64,64,20090317 POL,groundwater,
65,65,20090317 ST1,groundwater,
66,66,20090317 ST2,groundwater,
67,67,20090317 ST4,groundwater,
68,68,20090317 SMP,groundwater,
69,69,20090317 TRN,groundwater,
70,70,20090414 BHL,groundwater,
71,71,20090414 FTM,groundwater,
72,72,20090414 POL,groundwater,
73,73,20090414 ST1,groundwater,
74,74,20090414 ST2,groundwater,
75,75,20090414 ST4,groundwater,
76,76,20090414 SMP,groundwater,
77,77,20090414 TRN,groundwater,
78,78,20090512 BIG,groundwater,
79,79,20090513 AMD,groundwater,
80,80,20090513 FTM,groundwater,
81,81,20090513 POL,groundwater,
82,82,20090513 ST1,groundwater,
83,83,20090513 ST2,groundwater,
84,84,20090513 SMP,groundwater,
85,85,20090513 BRO,groundwater,
86,86,20090612 AMD,groundwater,
87,87,20090612 FTM,groundwater,
88,88,20090612 POL,groundwater,
89,89,20090612 ST1,groundwater,
90,90,20090612 ST2,groundwater,
91,91,20090612 SMP,groundwater,
92,92,20090612 BRO,groundwater,
93,93,20090612 TRN,groundwater,
94,94,20090715 AMD,groundwater,
95,95,20090715 BIG,groundwater,
96,96,20090715 FTM,groundwater,
97,97,20090715 POL,groundwater,
98,98,20090715 ST1,groundwater,
99,99,20090715 ST2,groundwater,
100,100,20090715 SMP,groundwater,
101,101,20090715 BRO,groundwater,
102,102,20090822 FTM,groundwater,
103,103,20090822 POL,groundwater,
104,104,20090822 ST1,groundwater,
105,105,20090822 ST2,groundwater,
106,106,20090822 SMP,groundwater,
107,107,20090822 BRO,groundwater,
108,108,20090822 TRN,groundwater,
109,109,20090922 AMD,groundwater,
110,110,20090922 FTM,groundwater,
111,111,20090922 POL,groundwater,
112,112,20090922 ST1,groundwater,
113,113,20090922 ST2,groundwater,
114,114,20090922 SMP,groundwater,
115,115,20090922 BRO,groundwater,
116,116,20090922 TRN,groundwater,
117,117,20091021 AMD,groundwater,
118,118,20091021 FTM,groundwater,
119,119,20091021 POL,groundwater,
120,120,20091021 ST1,groundwater,
121,121,20091021 ST2,groundwater,
122,122,20091021 SMP,groundwater,
123,123,20091021 BRO,groundwater,
124,124,20091021 TRN,groundwater,
125,125,20091124 FTM,groundwater,
126,126,20091124 POL,groundwater,
127,127,20091124 ST1,groundwater,
128,128,20091124 ST2,groundwater,
129,129,20091124 SMP,groundwater,
130,130,20091124 BRO,groundwater,
131,131,20091124 TRN,groundwater,
132,132,20091222 AMD,groundwater,
133,133,20091222 FTM,groundwater,
134,134,20091222 POL,groundwater,
135,135,20091222 ST1,groundwater,
136,136,20091222 ST2,groundwater,
137,137,20091222 SMP,groundwater,
138,138,20091222 BRO,groundwater,
139,139,20091222 TRN,groundwater,
140,140,20100126 AMD,groundwater,
141,141,20100126 FTM,groundwater,
142,142,20100126 POL,groundwater,
143,143,20100126 ST1,groundwater,
144,144,20100126 ST2,groundwater,
145,145,20100126 SMP,groundwater,
146,146,20100126 BRO,groundwater,
147,147,20100126 TRN,groundwater,
148,148,20100302 AMD,groundwater,
149,149,20100302 FTM,groundwater,
150,150,20100302 POL,groundwater,
151,151,20100302 ST1,groundwater,
152,152,20100302 ST2,groundwater,
153,153,20100302 SMP,groundwater,
154,154,20100302 BRO,groundwater,
155,155,20100302 TRN,groundwater,
156,156,20100406 BIG,groundwater,
157,157,20100406 FTM,groundwater,
158,158,20100406 POL,groundwater,
159,159,20100406 ST1,groundwater,
160,160,20100406 ST2,groundwater,
161,161,20100406 SMP,groundwater,
162,162,20100406 BRO,groundwater,
163,163,20100504 AMD,groundwater,
164,164,20100504 FTM,groundwater,
165,165,20100504 POL,groundwater,
166,166,20100504 ST1,groundwater,
167,167,20100504 ST2,groundwater,
168,168,20100504 SMP,groundwater,
169,169,20100504 BRO,groundwater,
170,170,20100504 TRN,groundwater,
171,171,20100608 FTM,groundwater,
172,172,20100608 POL,groundwater,
173,173,20100608 ST1,groundwater,
174,174,20100608 ST2,groundwater,
175,175,20100608 SMP,groundwater,
176,176,20100608 BRO,groundwater,
177,177,20100608 TRN,groundwater,
178,178,20100713 AMD,groundwater,
179,179,20100713 FTM,groundwater,
180,180,20100713 POL,groundwater,
181,181,20100713 ST1,groundwater,
182,182,20100713 ST2,groundwater,
183,183,20100713 SMP,groundwater,
184,184,20100713 BRO,groundwater,
185,185,20100713 TRN,groundwater,
186,186,20100817 AMD,groundwater,
187,187,20100817 FTM,groundwater,
188,188,20100817 POL,groundwater,
189,189,20100817 ST1,groundwater,
190,190,20100817 ST2,groundwater,
191,191,20100817 SMP,groundwater,
192,192,20100817 BRO,groundwater,
193,193,20100817 TRN,groundwater,
194,194,20100928 AMD,groundwater,
195,195,20100928 FTM,groundwater,
196,196,20100928 POL,groundwater,
197,197,20100928 ST1,groundwater,
198,198,20100928 ST2,groundwater,
199,199,20100928 SMP,groundwater,
200,200,20100928 BRO,groundwater,
201,201,20100928 TRN,groundwater,
202,202,20101026 AMD,groundwater,
203,203,20101026 FTM,groundwater,
204,204,20101026 POL,groundwater,
205,205,20101026 ST1,groundwater,
206,206,20101026 ST2,groundwater,
207,207,20101026 SMP,groundwater,
208,208,20101026 BRO,groundwater,
209,209,20101026 TRN,groundwater,
210,210,20101123 AMD,groundwater,
211,211,20101123 FTM,groundwater,
212,212,20101123 POL,groundwater,
213,213,20101123 ST1,groundwater,
214,214,20101123 ST2,groundwater,
215,215,20101123 BRO,groundwater,
216,216,20101123 TRN,groundwater,
217,217,20101221 AMD,groundwater,
218,218,20101221 FTM,groundwater,
219,219,20101221 POL,groundwater,
220,220,20101221 ST1,groundwater,
221,221,20101221 ST2,groundwater,
222,222,20101221 SMP,groundwater,
223,223,20101221 BRO,groundwater,
224,224,20101221 TRN,groundwater,
225,225,20110125 AMD,groundwater,
226,226,20110125 FTM,groundwater,
227,227,20110125 POL,groundwater,
228,228,20110125 ST1,groundwater,
229,229,20110125 ST2,groundwater,
230,230,20110125 BRO,groundwater,
231,231,20110125 TRN,groundwater,
