,idGroundwaterSampleDetails,SampleName,SiteName,idFieldTrip,Location,BeginFieldTrip,EndFieldTrip,Ca,DripVol,DripInterval,CO2,Temp
8,17.0,20080923 FTM,Flatman,9.0,Jinapsan Cave,2008-09-22 00:00:00,2008-09-23 00:00:00,82133.33333333333,0.069172165200391,12.5,4500.0,26.5
9,19.0,20080923 ST1,Station 1,9.0,Jinapsan Cave,2008-09-22 00:00:00,2008-09-23 00:00:00,52970.0,0.07733281962988695,44.83333333333333,4500.0,26.5
10,20.0,20080923 ST2,Station 2,9.0,Jinapsan Cave,2008-09-22 00:00:00,2008-09-23 00:00:00,79850.0,0.06755970148260797,29.5,4500.0,26.5
11,22.0,20080923 SMP,Stumpy,9.0,Jinapsan Cave,2008-09-22 00:00:00,2008-09-23 00:00:00,62910.0,0.0681365000394851,303.6616685093053,4500.0,26.5
12,23.0,20080923 TRN,Trinity,9.0,Jinapsan Cave,2008-09-22 00:00:00,2008-09-23 00:00:00,50170.0,0.06361111111111112,1.2818181818181817,4500.0,26.5
13,25.0,20081021 FTM,Flatman,10.0,Jinapsan Cave,2008-10-20 00:00:00,2008-10-21 00:00:00,77025.0,0.057438583911781874,12.0,4500.0,26.5
14,26.0,20081021 ST1,Station 1,10.0,Jinapsan Cave,2008-10-20 00:00:00,2008-10-21 00:00:00,56780.0,0.06238959361052385,41.83333333333333,4500.0,26.5
15,27.0,20081021 ST2,Station 2,10.0,Jinapsan Cave,2008-10-20 00:00:00,2008-10-21 00:00:00,52910.0,0.07308979686057249,33.5,4500.0,26.5
16,29.0,20081021 SMP,Stumpy,10.0,Jinapsan Cave,2008-10-20 00:00:00,2008-10-21 00:00:00,72040.0,0.07203247035998321,339.44289965142656,4500.0,26.5
17,30.0,20081021 TRN,Trinity,10.0,Jinapsan Cave,2008-10-20 00:00:00,2008-10-21 00:00:00,54295.0,0.034594108739371264,1.2419109250095166,4500.0,26.5
18,32.0,20081118 FTM,Flatman,11.0,Jinapsan Cave,2008-11-17 00:00:00,2008-11-18 00:00:00,75103.33333333333,0.08653521294313585,11.5,4500.0,26.5
19,33.0,20081118 ST1,Station 1,11.0,Jinapsan Cave,2008-11-17 00:00:00,2008-11-18 00:00:00,53310.0,0.06798358315488937,42.5,4500.0,26.5
20,34.0,20081118 ST2,Station 2,11.0,Jinapsan Cave,2008-11-17 00:00:00,2008-11-18 00:00:00,80250.0,0.06755970148260797,40.75,4500.0,26.5
21,36.0,20081118 SMP,Stumpy,11.0,Jinapsan Cave,2008-11-17 00:00:00,2008-11-18 00:00:00,58640.0,0.11094827586206898,865.9962721342038,4500.0,26.5
22,37.0,20081118 TRN,Trinity,11.0,Jinapsan Cave,2008-11-17 00:00:00,2008-11-18 00:00:00,53230.0,0.07008484848484849,1.3043478260869565,4500.0,26.5
23,39.0,20081216 FTM,Flatman,12.0,Jinapsan Cave,2008-12-15 00:00:00,2008-12-16 00:00:00,80320.0,0.057438583911781874,24.5,500.0,26.5
24,40.0,20081216 ST1,Station 1,12.0,Jinapsan Cave,2008-12-15 00:00:00,2008-12-16 00:00:00,47403.333333333336,0.03775071447129125,61.75,500.0,26.5
25,41.0,20081216 ST2,Station 2,12.0,Jinapsan Cave,2008-12-15 00:00:00,2008-12-16 00:00:00,79760.0,0.06755970148260797,43.0,500.0,26.5
27,44.0,20081216 TRN,Trinity,12.0,Jinapsan Cave,2008-12-15 00:00:00,2008-12-16 00:00:00,50265.0,0.034594108739371264,1.4885183160196829,500.0,26.5
28,46.0,20090113 FTM,Flatman,13.0,Jinapsan Cave,2009-01-12 00:00:00,2009-01-13 00:00:00,73255.0,0.06356293123959078,14.0,500.0,26.5
29,48.0,20090113 ST1,Station 1,13.0,Jinapsan Cave,2009-01-12 00:00:00,2009-01-13 00:00:00,34503.333333333336,0.07733281962988695,264.0,500.0,26.5
30,49.0,20090113 ST2,Station 2,13.0,Jinapsan Cave,2009-01-12 00:00:00,2009-01-13 00:00:00,79065.0,0.07063541908971079,49.0,500.0,26.5
31,51.0,20090113 SMP,Stumpy,13.0,Jinapsan Cave,2009-01-12 00:00:00,2009-01-13 00:00:00,55460.0,0.07203247035998321,553.4494805992045,500.0,26.5
32,52.0,20090113 TRN,Trinity,13.0,Jinapsan Cave,2009-01-12 00:00:00,2009-01-13 00:00:00,46185.0,0.06759873427861893,0.5941176470588235,500.0,26.5
33,54.0,20090218 FTM,Flatman,14.0,Jinapsan Cave,2009-02-17 00:00:00,2009-02-18 00:00:00,72156.66666666667,0.06629989212513487,9.5,500.0,26.5
34,56.0,20090218 ST1,Station 1,14.0,Jinapsan Cave,2009-02-17 00:00:00,2009-02-18 00:00:00,36503.333333333336,0.07733281962988695,172.5248208096594,500.0,26.5
35,57.0,20090218 ST2,Station 2,14.0,Jinapsan Cave,2009-02-17 00:00:00,2009-02-18 00:00:00,78860.0,0.06755970148260797,52.166666666666664,500.0,26.5
36,59.0,20090218 SMP,Stumpy,14.0,Jinapsan Cave,2009-02-17 00:00:00,2009-02-18 00:00:00,61850.0,0.0631537341729298,474.36795423100693,500.0,26.5
37,60.0,20090218 TRN,Trinity,14.0,Jinapsan Cave,2009-02-17 00:00:00,2009-02-18 00:00:00,41170.0,0.07342657342657344,0.7293307086614174,500.0,26.5
38,62.0,20090317 FTM,Flatman,16.0,Jinapsan Cave,2009-03-16 00:00:00,2009-03-17 00:00:00,69450.0,0.057438583911781874,19.833333333333336,500.0,26.5
39,65.0,20090317 ST2,Station 2,16.0,Jinapsan Cave,2009-03-16 00:00:00,2009-03-17 00:00:00,75960.0,0.06755970148260797,55.666666666666664,500.0,26.5
40,67.0,20090317 SMP,Stumpy,16.0,Jinapsan Cave,2009-03-16 00:00:00,2009-03-17 00:00:00,63643.333333333336,0.06308641975308643,449.21701867156446,500.0,26.5
41,68.0,20090317 TRN,Trinity,16.0,Jinapsan Cave,2009-03-16 00:00:00,2009-03-17 00:00:00,39620.0,0.06189242536392795,0.8184523809523809,500.0,26.5
42,70.0,20090414 FTM,Flatman,17.0,Jinapsan Cave,2009-04-13 00:00:00,2009-04-14 00:00:00,69275.0,0.06484977578475337,23.666666666666668,500.0,26.5
43,72.0,20090414 ST1,Station 1,17.0,Jinapsan Cave,2009-04-13 00:00:00,2009-04-14 00:00:00,45105.0,0.07733281962988695,97.0,500.0,26.5
44,73.0,20090414 ST2,Station 2,17.0,Jinapsan Cave,2009-04-13 00:00:00,2009-04-14 00:00:00,65640.0,0.06755970148260797,73.16666666666667,500.0,26.5
